,self_employeed,company_size,tech_company,tech_prole,mh_benefits,anonymity,leaving_difficulty,disc_mh_coworker,disc_mh_supervisor,reveal_mh_business,reveal_mh_coworkers,affects_productivity,productivity_percent,mention_ph_interview,mention_mh_interview,share_mh_ff,exp_unsupport,reveal_less,family_history,mh_in_past,mh_currently,mh_diagnosed,sought_treatment,age,gender,country_live,state_live,country_work,state_work,year
844,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Very open,Maybe/Not sure,,Yes,Yes,Yes,,,34.0,Male,United States of America,Nebraska,United States of America,Nebraska,2016
845,0,More than 1000,0.0,1.0,Yes,I don't know,,,,,,,,No,,Somewhat open,,,No,No,No,,,38.0,Male,United Kingdom,,United Kingdom,,2016
846,0,100-500,1.0,,Yes,Yes,,,,,,,,No,,Very open,"Yes, I experienced",,I don't know,Yes,Yes,,,26.0,woman,United States of America,North Carolina,United States of America,North Carolina,2016
847,0,6-25,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,No,No,,,24.0,male,Bulgaria,,Bulgaria,,2016
848,0,More than 1000,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,27.0,Female,United States of America,New York,United States of America,New York,2016
849,0,6-25,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,No,Yes,Yes,,,25.0,male,United States of America,Oklahoma,United States of America,Oklahoma,2016
850,1,,,,,,,,,Not applicable to me,Not applicable to me,Unsure,,Yes,,Somewhat not open,,,No,No,No,,,37.0,m,United States of America,Massachusetts,United States of America,Massachusetts,2016
851,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,Yes,Maybe,No,,,33.0,Male,Canada,,Canada,,2016
852,0,26-100,0.0,1.0,No,Yes,,,,,,,,Maybe,,Somewhat open,"Yes, I experienced",,No,Yes,Yes,,,34.0,Male,United States of America,New York,United States of America,New York,2016
853,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,No,,I don't know,Yes,Yes,,,27.0,Male,Canada,,Canada,,2016
854,0,100-500,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,Yes,Maybe,,,33.0,Male,United States of America,New Hampshire,United States of America,New Hampshire,2016
855,0,6-25,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,50.0,mail,United States of America,Minnesota,United States of America,Minnesota,2016
856,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,1-25%,Maybe,,Somewhat open,Maybe/Not sure,,Yes,Yes,Yes,,,54.0,female,United States of America,New York,United States of America,New York,2016
857,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Maybe,,Neutral,"Yes, I observed",,I don't know,Yes,No,,,32.0,female ,Canada,,Canada,,2016
858,0,6-25,1.0,,I don't know,Yes,,,,,,,,Maybe,,Neutral,No,,No,No,No,,,39.0,m,Canada,,Canada,,2016
859,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,No,No,No,,,36.0,Male,United States of America,Minnesota,United States of America,Minnesota,2016
860,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Very open,,,No,Maybe,No,,,34.0,Male,Canada,,Canada,,2016
861,0,100-500,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,Yes,Maybe,,,31.0,female,United States of America,New York,United States of America,New York,2016
862,0,More than 1000,0.0,1.0,No,I don't know,,,,,,,,Yes,,Somewhat not open,"Yes, I experienced",,Yes,Yes,Maybe,,,36.0,male,United States of America,Texas,United States of America,Texas,2016
863,0,More than 1000,0.0,1.0,I don't know,Yes,,,,,,,,No,,Somewhat not open,No,,I don't know,No,No,,,48.0,Male,United States of America,Minnesota,United States of America,Minnesota,2016
864,0,6-25,1.0,,I don't know,I don't know,,,,,,,,No,,Not open at all,No,,Yes,Yes,Maybe,,,31.0,male,United States of America,Maine,United States of America,Maine,2016
865,0,1-5,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,No,No,,,32.0,M,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
866,0,100-500,1.0,,I don't know,I don't know,,,,,,,,No,,Neutral,"Yes, I observed",,No,No,No,,,32.0,M,United States of America,Oregon,United States of America,Oregon,2016
867,1,,,,,,,,,"Sometimes, if it comes up",Not applicable to me,Yes,26-50%,Yes,,Somewhat open,No,,Yes,Yes,Yes,,,31.0,male,United States of America,Oregon,United States of America,Oregon,2016
868,0,1-5,1.0,,Not eligible for coverage / N/A,Yes,,,,,,,,No,,Somewhat open,No,,Yes,No,Yes,,,28.0,Female,United States of America,Kansas,United States of America,Kansas,2016
869,0,More than 1000,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Not open at all,"Yes, I observed",,Yes,Yes,Yes,,,28.0,male,United Kingdom,,United Kingdom,,2016
870,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,33.0,F,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
871,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,1-25%,Maybe,,Neutral,No,,Yes,Yes,No,,,33.0,M,United States of America,Oregon,United States of America,Oregon,2016
872,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,51-75%,No,,Somewhat open,Maybe/Not sure,,No,Yes,Yes,,,59.0,M,United States of America,Arizona,United States of America,Arizona,2016
873,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,51-75%,Maybe,,Very open,Maybe/Not sure,,Yes,Yes,Yes,,,33.0,male,United States of America,Oregon,United States of America,Oregon,2016
874,0,100-500,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat not open,"Yes, I observed",,I don't know,Maybe,Maybe,,,37.0,Male,United States of America,Florida,United States of America,Florida,2016
875,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Very open,"Yes, I experienced",,No,Yes,No,,,27.0,female,Germany,,Germany,,2016
876,0,More than 1000,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,No,Maybe,,,39.0,Male,United States of America,Texas,United States of America,Texas,2016
877,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,26-50%,No,,Somewhat open,,,Yes,Yes,No,,,50.0,M,Germany,,Germany,,2016
878,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,No,,Somewhat open,No,,I don't know,No,No,,,34.0,Female,United States of America,Texas,United States of America,Texas,2016
879,1,,,,,,,,,"No, because it doesn't matter","No, because it doesn't matter",Yes,26-50%,No,,Neutral,"Yes, I experienced",,No,No,Maybe,,,50.0,male,Germany,,Germany,,2016
880,0,6-25,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,No,,Neutral,"Yes, I observed",,I don't know,Maybe,Maybe,,,31.0,Female,Other,,Other,,2016
881,0,More than 1000,0.0,1.0,Yes,No,,,,,,,,No,,Somewhat not open,"Yes, I observed",,Yes,Maybe,Maybe,,,39.0,male,United States of America,Maryland,United States of America,Maryland,2016
882,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat not open,"Yes, I observed",,Yes,Yes,No,,,46.0,Male,United States of America,Virginia,United States of America,District of Columbia,2016
883,0,More than 1000,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,No,No,Maybe,,,28.0,M,United States of America,Tennessee,United States of America,Tennessee,2016
884,0,26-100,1.0,,I don't know,Yes,,,,,,,,Yes,,Somewhat open,No,,No,No,No,,,32.0,male,France,,France,,2016
885,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,1-25%,Maybe,,Somewhat open,Maybe/Not sure,,No,Yes,Yes,,,65.0,F,United States of America,Oregon,United States of America,Oregon,2016
886,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,76-100%,Yes,,Very open,No,,Yes,Yes,Maybe,,,37.0,Male,United States of America,California,United States of America,California,2016
887,1,,,,,,,,,"Sometimes, if it comes up",Not applicable to me,Yes,1-25%,Yes,,Somewhat open,,,I don't know,Maybe,No,,,41.0,Female,United States of America,District of Columbia,United States of America,District of Columbia,2016
888,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,1-25%,Yes,,Somewhat not open,,,I don't know,Yes,Yes,,,38.0,Male,United States of America,New York,United States of America,New York,2016
889,0,26-100,0.0,1.0,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,"Yes, I experienced",,No,Yes,Yes,,,51.0,male,United States of America,North Carolina,United States of America,North Carolina,2016
890,0,500-1000,0.0,1.0,I don't know,Yes,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,I don't know,Maybe,Maybe,,,29.0,Male,United States of America,Illinois,United States of America,Illinois,2016
891,1,,,,,,,,,"No, because it would impact me negatively",Not applicable to me,Yes,51-75%,Maybe,,Neutral,No,,No,No,No,,,37.0,Male,Japan,,Canada,,2016
892,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,No,,Somewhat open,Maybe/Not sure,,No,No,No,,,31.0,Male,Canada,,Canada,,2016
893,0,1-5,1.0,,No,No,,,,,,,,Yes,,Neutral,No,,Yes,Maybe,Maybe,,,32.0,Male,Iran,,Iran,,2016
894,1,,,,,,,,,"Sometimes, if it comes up","Yes, always",Yes,1-25%,Maybe,,Very open,No,,I don't know,Yes,Yes,,,31.0,male,Sweden,,Sweden,,2016
895,0,More than 1000,0.0,1.0,Not eligible for coverage / N/A,I don't know,,,,,,,,Yes,,Neutral,Maybe/Not sure,,Yes,Maybe,No,,,52.0,m,Switzerland,,Switzerland,,2016
896,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,26-50%,Maybe,,Very open,"Yes, I observed",,Yes,Yes,Yes,,,31.0,male,Switzerland,,Switzerland,,2016
897,1,,,,,,,,,Not applicable to me,Not applicable to me,Unsure,,No,,Very open,"Yes, I observed",,No,No,No,,,38.0,F,United Kingdom,,United Kingdom,,2016
898,0,More than 1000,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Neutral,Maybe/Not sure,,I don't know,Yes,Maybe,,,35.0,Male,United States of America,Illinois,United States of America,Illinois,2016
899,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,No,,Not applicable to me (I do not have a mental illness),Maybe/Not sure,,I don't know,No,No,,,29.0,Male,United States of America,Oklahoma,United States of America,Oklahoma,2016
900,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,1-25%,No,,Somewhat not open,"Yes, I experienced",,No,No,No,,,63.0,Male,United States of America,Minnesota,United States of America,Minnesota,2016
901,1,,,,,,,,,"Sometimes, if it comes up","No, because it would impact me negatively",Yes,1-25%,No,,Somewhat open,"Yes, I observed",,No,Yes,Yes,,,47.0,female,United States of America,New York,United States of America,New York,2016
902,1,,,,,,,,,"Sometimes, if it comes up","Yes, always",Yes,26-50%,Yes,,Very open,"Yes, I experienced",,Yes,Yes,Yes,,,43.0,M,Austria,,Austria,,2016
903,0,26-100,1.0,,No,I don't know,,,,,,,,No,,Somewhat not open,Maybe/Not sure,,No,No,No,,,38.0,male,Ireland,,Ireland,,2016
904,0,6-25,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Not open at all,Maybe/Not sure,,No,Maybe,Maybe,,,27.0,Male,United States of America,Washington,United States of America,Washington,2016
905,0,6-25,1.0,,I don't know,Yes,,,,,,,,No,,Somewhat not open,No,,Yes,Yes,Yes,,,40.0,Female,United States of America,Oregon,United States of America,Oregon,2016
906,0,500-1000,0.0,1.0,Not eligible for coverage / N/A,I don't know,,,,,,,,No,,Neutral,Maybe/Not sure,,No,Maybe,No,,,32.0,Male,South Africa,,South Africa,,2016
907,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,26-50%,Maybe,,Somewhat open,No,,No,Maybe,Maybe,,,43.0,female,United States of America,Wisconsin,United States of America,Wisconsin,2016
908,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,No,,Somewhat open,"Yes, I experienced",,I don't know,Yes,Yes,,,28.0,female,Germany,,Germany,,2016
909,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,Maybe,,Not applicable to me (I do not have a mental illness),"Yes, I observed",,No,No,No,,,46.0,Male,United Kingdom,,United Kingdom,,2016
910,0,More than 1000,0.0,1.0,No,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,No,No,,,42.0,male,United States of America,California,United States of America,California,2016
911,0,1-5,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,Yes,Maybe,,,31.0,Male,United States of America,New York,United States of America,New York,2016
912,1,,,,,,,,,"Sometimes, if it comes up","Yes, always",Yes,26-50%,No,,Somewhat not open,No,,No,Yes,Yes,,,37.0,F,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
913,0,6-25,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,35.0,M,Canada,,Canada,,2016
914,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,1-25%,Maybe,,Somewhat open,Maybe/Not sure,,No,No,Maybe,,,30.0,Female,United States of America,Minnesota,United States of America,Minnesota,2016
915,0,26-100,1.0,,Not eligible for coverage / N/A,Yes,,,,,,,,No,,Very open,No,,Yes,Yes,Yes,,,35.0,Male,Australia,,Australia,,2016
916,0,26-100,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,24.0,Male,United States of America,California,United States of America,California,2016
917,0,6-25,1.0,,No,No,,,,,,,,Yes,,Neutral,Maybe/Not sure,,No,No,No,,,23.0,male,India,,India,,2016
918,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,26-50%,Maybe,,Somewhat open,"Yes, I observed",,Yes,Yes,Maybe,,,39.0,Female,France,,United Kingdom,,2016
919,0,6-25,1.0,,No,Yes,,,,,,,,No,,Somewhat open,Maybe/Not sure,,No,No,No,,,38.0,Male,France,,France,,2016
920,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,51-75%,Maybe,,Very open,,,Yes,Yes,Yes,,,28.0,Male,United Kingdom,,United Kingdom,,2016
921,1,,,,,,,,,Not applicable to me,Not applicable to me,Unsure,,Maybe,,Somewhat open,"Yes, I observed",,No,Maybe,No,,,30.0,m,United Kingdom,,United Kingdom,,2016
922,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,1-25%,No,,Neutral,Maybe/Not sure,,No,Maybe,Maybe,,,38.0,Male,United Kingdom,,United Kingdom,,2016
923,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat not open,No,,No,No,No,,,33.0,M,France,,France,,2016
924,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,No,No,No,,,35.0,Male,United Kingdom,,United Kingdom,,2016
925,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,Yes,,Very open,"Yes, I observed",,No,No,No,,,54.0,M|,United Kingdom,,United Kingdom,,2016
926,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Neutral,No,,I don't know,No,No,,,30.0,female,Germany,,Germany,,2016
927,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,1-25%,Maybe,,Somewhat open,No,,I don't know,No,No,,,32.0,Female,United Kingdom,,United Kingdom,,2016
928,0,500-1000,1.0,,I don't know,I don't know,,,,,,,,Yes,,Not open at all,No,,Yes,Maybe,Maybe,,,28.0,male,United States of America,North Carolina,United States of America,North Carolina,2016
929,0,6-25,1.0,,No,I don't know,,,,,,,,Yes,,Somewhat open,No,,I don't know,Yes,No,,,39.0,m,Germany,,Germany,,2016
930,0,1-5,1.0,,No,No,,,,,,,,Yes,,Very open,"Yes, I observed",,Yes,Yes,Yes,,,21.0,non-binary,United States of America,New Jersey,United States of America,New Jersey,2016
931,0,6-25,1.0,,Yes,No,,,,,,,,Yes,,Somewhat open,No,,Yes,No,No,,,31.0,male,Germany,,Germany,,2016
932,0,More than 1000,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,No,Maybe,,,30.0,male,United States of America,Washington,United States of America,Washington,2016
933,0,26-100,1.0,,Yes,Yes,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),,,No,No,No,,,25.0,Female,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
934,0,6-25,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),No,,No,No,No,,,26.0,Male,United Kingdom,,United Kingdom,,2016
935,0,26-100,1.0,,Yes,Yes,,,,,,,,No,,Very open,Maybe/Not sure,,No,Maybe,No,,,30.0,male,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
936,0,500-1000,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,No,No,,,30.0,M,Italy,,Italy,,2016
937,0,100-500,1.0,,I don't know,Yes,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),No,,No,No,No,,,31.0,Male,Bulgaria,,Bulgaria,,2016
938,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,32.0,M,United States of America,North Carolina,United States of America,North Carolina,2016
939,0,26-100,0.0,1.0,No,I don't know,,,,,,,,No,,Neutral,No,,Yes,Yes,Yes,,,45.0,female,United Kingdom,,United Kingdom,,2016
940,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,26-50%,No,,Very open,,,Yes,Maybe,Maybe,,,29.0,Male,Switzerland,,Switzerland,,2016
941,0,26-100,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat not open,Maybe/Not sure,,Yes,Yes,Maybe,,,27.0,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
942,0,26-100,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,No,,Not open at all,No,,I don't know,Yes,Yes,,,28.0,Female,United Kingdom,,United Kingdom,,2016
943,0,500-1000,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat not open,No,,Yes,No,No,,,38.0,m,United States of America,Michigan,United States of America,Michigan,2016
944,0,500-1000,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Very open,"Yes, I observed",,Yes,Yes,Yes,,,38.0,male,United States of America,Minnesota,United States of America,Minnesota,2016
945,0,More than 1000,1.0,,I don't know,Yes,,,,,,,,Yes,,Very open,No,,Yes,Yes,No,,,34.0,Male,Hungary,,Hungary,,2016
946,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,1-25%,No,,Somewhat open,No,,I don't know,Yes,No,,,36.0,M,Netherlands,,Netherlands,,2016
947,0,6-25,1.0,,I don't know,Yes,,,,,,,,No,,Somewhat open,No,,No,No,No,,,23.0,male,France,,France,,2016
948,0,100-500,0.0,1.0,Yes,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,Yes,Yes,Maybe,,,40.0,Female,United States of America,Texas,United States of America,Texas,2016
949,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,1-25%,Maybe,,Very open,No,,No,Yes,Yes,,,39.0,Male,United States of America,Michigan,United States of America,Michigan,2016
950,0,26-100,1.0,,I don't know,I don't know,,,,,,,,No,,Not open at all,No,,Yes,Yes,Maybe,,,28.0,Male,United States of America,Texas,United States of America,Texas,2016
951,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),No,,No,No,No,,,33.0,male,United States of America,Tennessee,United States of America,Tennessee,2016
952,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,26-50%,Maybe,,Somewhat open,Maybe/Not sure,,I don't know,Yes,Maybe,,,32.0,Male ,United States of America,Georgia,United States of America,Georgia,2016
953,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,No,,Somewhat not open,"Yes, I observed",,Yes,Yes,Yes,,,32.0,Male,United States of America,Minnesota,United States of America,Minnesota,2016
954,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat open,No,,Yes,Yes,Maybe,,,27.0,M,United States of America,Colorado,United States of America,Colorado,2016
955,0,100-500,1.0,,No,I don't know,,,,,,,,Yes,,Very open,Maybe/Not sure,,No,Yes,No,,,33.0,Male,Israel,,Israel,,2016
956,0,100-500,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,No,No,,,34.0,Male,Japan,,Japan,,2016
957,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,1-25%,No,,Somewhat open,,,I don't know,Yes,Maybe,,,38.0,f,India,,India,,2016
958,0,More than 1000,0.0,1.0,Yes,I don't know,,,,,,,,No,,Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,,,35.0,M,United States of America,Illinois,United States of America,Illinois,2016
959,0,26-100,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,No,,No,Maybe,No,,,39.0,M,United States of America,Maryland,United States of America,Maryland,2016
960,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,No,,Somewhat open,"Yes, I observed",,No,No,No,,,35.0,male,United States of America,Minnesota,United States of America,Minnesota,2016
961,0,100-500,0.0,1.0,I don't know,Yes,,,,,,,,Yes,,Somewhat open,"Yes, I observed",,No,No,Yes,,,34.0,Male,United States of America,Utah,United States of America,Utah,2016
962,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,1-25%,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,44.0,Female,United States of America,Massachusetts,United States of America,Massachusetts,2016
963,0,500-1000,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Very open,No,,No,Yes,No,,,42.0,M,United States of America,Massachusetts,United States of America,Massachusetts,2016
964,0,6-25,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Somewhat not open,No,,No,No,No,,,30.0,Male,United States of America,Florida,United States of America,Florida,2016
965,0,26-100,0.0,1.0,Yes,No,,,,,,,,Yes,,Very open,No,,Yes,Maybe,Maybe,,,55.0,Male,United States of America,Illinois,United States of America,Illinois,2016
966,0,26-100,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,"Yes, I observed",,Yes,Maybe,Maybe,,,46.0,m,United States of America,California,United States of America,California,2016
967,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Very open,No,,Yes,Yes,Yes,,,33.0,male,United States of America,New Hampshire,United States of America,Massachusetts,2016
968,0,26-100,0.0,1.0,Yes,Yes,,,,,,,,Yes,,Neutral,"Yes, I experienced",,Yes,Yes,Yes,,,30.0,Male,United States of America,Massachusetts,United States of America,Massachusetts,2016
969,0,26-100,1.0,,No,I don't know,,,,,,,,Yes,,Somewhat open,No,,Yes,Yes,Yes,,,30.0,male,United Kingdom,,United Kingdom,,2016
970,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,I don't know,Maybe,Maybe,,,31.0,Female,United States of America,Massachusetts,United States of America,Massachusetts,2016
971,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,No,,No,Yes,Yes,,,38.0,Male,Ireland,,Ireland,,2016
972,0,100-500,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,"Yes, I observed",,Yes,No,No,,,30.0,female,United Kingdom,,United Kingdom,,2016
973,0,500-1000,1.0,,Yes,I don't know,,,,,,,,No,,Very open,"Yes, I experienced",,Yes,Yes,Yes,,,32.0,Male,United States of America,Utah,United States of America,Utah,2016
974,0,More than 1000,0.0,1.0,No,I don't know,,,,,,,,No,,Somewhat open,"Yes, I observed",,I don't know,Yes,Yes,,,32.0,Male,United Kingdom,,United Kingdom,,2016
975,0,26-100,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,Yes,Yes,Yes,,,47.0,Male,United States of America,Utah,United States of America,Utah,2016
976,0,6-25,1.0,,No,Yes,,,,,,,,Yes,,Somewhat not open,"Yes, I observed",,I don't know,Maybe,Maybe,,,39.0,Male,United Kingdom,,United Kingdom,,2016
977,0,100-500,0.0,1.0,I don't know,I don't know,,,,,,,,No,,Not open at all,,,Yes,Yes,Yes,,,35.0,Male,United States of America,Texas,United States of America,Texas,2016
978,0,100-500,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,No,Yes,Yes,,,36.0,Male,United States of America,Maine,United States of America,Massachusetts,2016
979,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Somewhat not open,No,,No,No,No,,,38.0,female,United States of America,Michigan,United States of America,Michigan,2016
980,0,100-500,1.0,,I don't know,Yes,,,,,,,,No,,Very open,"Yes, I observed",,I don't know,Yes,Maybe,,,30.0,Male,United States of America,Washington,United States of America,Washington,2016
981,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,Yes,Maybe,No,,,33.0,Male,United States of America,Michigan,United States of America,Michigan,2016
982,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Not open at all,,,Yes,Yes,Yes,,,22.0,male,United States of America,Massachusetts,United States of America,Massachusetts,2016
983,1,,,,,,,,,"No, because it doesn't matter","No, because it doesn't matter",Yes,26-50%,Maybe,,Neutral,Maybe/Not sure,,No,Yes,Maybe,,,35.0,m,United States of America,Michigan,United States of America,Michigan,2016
984,0,26-100,0.0,1.0,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,I don't know,No,No,,,26.0,m,United States of America,Michigan,United States of America,Michigan,2016
985,0,100-500,1.0,,Yes,Yes,,,,,,,,Maybe,,Very open,No,,No,Maybe,Maybe,,,34.0,Male,United States of America,Michigan,United States of America,Michigan,2016
986,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Unsure,,No,,Neutral,Maybe/Not sure,,Yes,Maybe,Maybe,,,40.0,male,United States of America,Michigan,United States of America,Michigan,2016
987,0,100-500,1.0,,No,I don't know,,,,,,,,No,,Not open at all,"Yes, I observed",,No,Maybe,Yes,,,37.0,male,Bulgaria,,Bulgaria,,2016
988,0,1-5,1.0,,No,I don't know,,,,,,,,Yes,,Neutral,No,,No,No,No,,,43.0,M,Switzerland,,Switzerland,,2016
989,1,,,,,,,,,"Sometimes, if it comes up","Yes, always",Yes,76-100%,Yes,,Very open,No,,I don't know,Yes,Yes,,,20.0,Male,United States of America,Illinois,United States of America,Illinois,2016
990,0,500-1000,1.0,,I don't know,I don't know,,,,,,,,Yes,,Very open,"Yes, I observed",,Yes,Yes,Yes,,,30.0,Female,United States of America,Minnesota,United States of America,Minnesota,2016
991,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Yes,,Not applicable to me (I do not have a mental illness),"Yes, I observed",,Yes,Maybe,Maybe,,,32.0,Male,United States of America,Washington,United States of America,Washington,2016
992,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,No,No,No,,,35.0,male,United States of America,Minnesota,United States of America,Minnesota,2016
993,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,No,No,,,29.0,male,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
994,0,500-1000,0.0,1.0,No,I don't know,,,,,,,,Yes,,Neutral,No,,I don't know,Yes,Maybe,,,29.0,male,United States of America,Ohio,United States of America,Ohio,2016
995,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,I don't know,No,No,,,30.0,m,United States of America,Montana,United States of America,Montana,2016
